Name	GeneDB IDs	Log2 H/L	Log10 (Int H*L)	Group	Glycosome status 
	Tb927.10.7100 	1.411517791	13.40658834	ii	gray
	Tb11.01.5760 	1.409201001	14.14621967	ii	gray
GALE	Tb11.02.0330 	1.405197473	13.71529667	ii	green
	Tb09.160.1070 	1.393008602	15.23512108	ii	gray
PPI	Tb927.10.15590 	1.385912309	11.87801555	ii	white
	Tb11.02.0180 	1.378970626	14.71145961	ii	green
	Tb927.4.1020 	1.356209219	14.64492444	ii	red
	Tb927.10.10000 	1.352488944	11.90450955	ii	white
	Tb927.3.4640 	1.345103403	13.42550222	ii	red
	Tb927.10.14030 	1.337184001	13.77794445	ii	white
	Tb09.160.2370 	1.327741136	13.03776332	ii	red
	Tb11.02.2310 	1.322423457	15.43197768	ii	gray
	Tb927.4.4360 	1.306257849	14.8581123	ii	green
	Tb927.4.1670 	1.28926254	14.50136037	ii	gray
	Tb09.160.4950 	1.278468792	14.69177872	ii	white
GlcII	Tb927.10.13630 	1.264429479	12.68375429	ii	white
	Tb927.4.2010 	1.259782832	17.71670292	ii	green
	Tb927.3.640 	1.242041548	14.26462271	ii	gray
	Tb11.01.3610 	1.230064067	12.72754042	ii	white
	Tb927.8.8120 	1.220340305	12.73246342	ii	red
	Tb927.4.590 	1.217892593	15.69010927	ii	red
	Tb927.8.2460 	1.213002813	14.61424046	ii	gray
	Tb09.160.4760 	1.21048276	13.04331961	ii	green
	Tb927.10.14510 	1.209199004	14.10830677	ii	green
	Tb927.4.2320 	1.158800752	14.59314629	ii	gray
	Tb927.10.14740 	1.145193062	14.4455218	ii	white
	Tb927.4.2540 	1.143067477	13.57795351	ii	green
	Tb927.7.3630 	1.138473233	14.31016258	ii	white
	Tb927.7.4170 	1.138385328	13.31643999	ii	white
	Tb11.46.0010 	1.136166214	14.01488676	ii	green
	Tb09.211.3500 	1.125629151	13.93778168	ii	gray
	Tb927.10.12240 	1.119810441	16.10417056	ii	gray
	Tb927.6.4320 	1.115534022	14.11740305	ii	red
	Tb11.01.4340 	1.095030251	13.17507624	ii	white
GPIta	Tb927.4.1920 	1.091587919	14.67216265	ii	red
	Tb11.01.5195 	1.086818118	14.49217406	ii	gray
	Tb927.6.2600 	1.076219935	15.08121555	ii	gray
LPG3	Tb927.3.3580 	1.075420844	17.20950165	ii	red
	Tb927.6.4500 	1.062325186	15.82894039	ii	red
	Tb11.02.3310 	1.043427744	15.13163402	ii	red
	Tb927.7.900 	1.041950213	15.56710306	ii	gray
	Tb927.8.1570 	1.041047568	15.75424183	ii	red
	Tb927.1.450 	1.034345215	17.40742764	ii	white
	Tb11.01.1350 	1.032174077	16.26551793	ii	gray
	Tb927.7.2190 	1.030297026	15.09273132	ii	red
	Tb927.5.820 	1.019374791	14.454736	ii	white
	Tb927.6.2260 	0.995470834	15.5021994	ii	white
	Tb927.10.14000 	0.994444042	16.57335364	ii	white
GRP78	Tb11.02.5450 	0.982687747	17.93929143	ii	white
	Tb927.6.3840 	0.96887809	15.65707548	ii	gray
	Tb927.7.1820 	0.94638984	16.29054171	ii	white
	Tb11.01.6090 	0.940371044	15.14332641	ii	red
	Tb927.7.1290 	0.933110869	14.3181844	ii	white
